chr,start,mappability,gc_content,end,sample_H
Group 1,0,0.704431,0.522723,300000,25219
Group 1,300000,0.863432,0.5459,600000,2567
Group 1,600000,0.802711,0.53465,900000,6076
Group 1,900000,0.680678,0.534227,1200000,14459
Group 1,1200000,0.763201,0.52828,1500000,11975
Group 1,1500000,0.923818,0.535033,1800000,25735
Group 1,1800000,0.985015,0.543277,2100000,9224
Group 1,2100000,0.845522,0.524,2400000,20024
Group 1,2400000,0.690723,0.54278,2700000,15753
Group 1,2700000,0.917005,0.5285,3000000,16489
Group 1,3000000,0.883065,0.557937,3300000,20404
Group 1,3300000,0.884225,0.54654,3600000,12385
Group 1,3600000,0.967027,0.547067,3900000,5008
Group 1,3900000,0.866796,0.54121,4200000,8970
Group 1,4200000,0.955228,0.527167,4500000,25063
Group 1,4500000,0.918727,0.5415,4800000,10445
Group 1,4800000,0.580098,0.550737,5100000,3878
Group 1,5100000,0.839229,0.547847,5400000,12037
Group 1,5400000,0.936542,0.528667,5700000,11028
Group 1,5700000,0.894707,0.535247,6000000,16205
Group 1,6000000,0.593205,0.549183,6300000,11267
Group 1,6300000,0.849923,0.544513,6600000,24470
Group 1,6600000,0.754476,0.540007,6900000,17518
Group 1,6900000,0.634413,0.53343,7200000,8958
Group 1,7200000,0.873675,0.54095,7500000,18200
Group 1,7500000,0.772537,0.547427,7800000,8186
Group 1,7800000,0.593352,0.539397,8100000,9135
Group 1,8100000,0.580163,0.546507,8400000,58467
Group 1,8400000,0.669778,0.547147,8700000,15428
Group 1,8700000,0.927062,0.544467,9000000,9895
Group 1,9000000,0.741246,0.536563,9300000,14707
Group 1,9300000,0.512512,0.52632,9600000,15345
Group 1,9600000,0.709834,0.51054,9900000,10817
Group 1,9900000,0.577985,0.54525,10200000,14999
Group 1,10200000,0.845895,0.53519,10500000,22003
Group 1,10500000,0.88939,0.538747,10800000,20102
Group 1,10800000,0.8016,0.527083,11100000,12739
Group 1,11100000,0.927512,0.56331,11400000,18589
Group 1,11400000,0.801341,0.542917,11700000,17618
Group 1,11700000,0.823189,0.54779,12000000,13715
Group 1,12000000,0.740029,0.53266,12300000,17052
Group 1,12300000,0.404518,0.544703,12600000,8913
Group 1,12600000,0.862962,0.549003,12900000,30773
Group 1,12900000,0.757223,0.54696,13200000,22122
Group 1,13200000,0.844367,0.550347,13500000,16695
Group 1,13500000,0.704297,0.538997,13800000,15340
Group 1,13800000,0.830986,0.552157,14100000,21597
Group 1,14100000,0.787971,0.554877,14400000,15471
Group 1,14400000,0.819467,0.536483,14700000,16923
Group 1,14700000,0.638727,0.513497,15000000,282804
Group 1,15000000,0.768092,0.532007,15300000,18751
Group 1,15300000,0.579982,0.547357,15600000,18849
Group 1,15600000,0.830441,0.536457,15900000,13203
Group 1,15900000,0.755996,0.53879,16200000,16786
Group 1,16200000,0.439561,0.54429,16500000,8714
Group 1,16500000,0.787504,0.544193,16800000,18010
Group 1,16800000,0.794882,0.550633,17100000,19070
Group 1,17100000,0.840482,0.544483,17400000,10662
Group 1,17400000,0.831206,0.546337,17700000,15305
Group 1,17700000,0.755462,0.531967,18000000,18445
Group 1,18000000,0.754312,0.541837,18300000,14778
Group 1,18300000,0.837789,0.550357,18600000,21054
Group 1,18600000,0.896306,0.54579,18900000,20023
Group 1,18900000,0.925122,0.560507,19200000,18654
Group 1,19200000,0.863223,0.54603,19500000,15739
Group 1,19500000,0.816855,0.540287,19800000,15199
Group 1,19800000,0.6506,0.540213,20100000,16855
Group 1,20100000,0.932078,0.541467,20400000,25849
Group 1,20400000,0.603363,0.548813,20700000,11989
Group 1,20700000,0.825438,0.54034,21000000,17453
Group 1,21000000,0.753536,0.556837,21300000,18830
Group 1,21300000,0.923792,0.538817,21600000,19261
Group 1,21600000,0.92205,0.538657,21900000,18090
Group 1,21900000,0.682717,0.540663,22200000,14400
