chr,start,mappability,gc_content,end,sample_H
Group 1,0,0.962717,0.54684,300000,21138
Group 1,300000,0.924929,0.546467,600000,23001
Group 1,600000,0.901278,0.55139,900000,32171
Group 1,900000,0.91118,0.547503,1200000,10569
Group 1,1200000,0.946055,0.548403,1500000,3527
Group 1,1500000,0.931233,0.539577,1800000,8085
Group 1,1800000,0.838038,0.54925,2100000,16983
Group 1,2100000,0.951476,0.545,2400000,14819
Group 1,2400000,0.50559,0.542243,2700000,9160
Group 1,2700000,0.918956,0.541873,3000000,12133
Group 1,3000000,0.71705,0.538427,3300000,12529
Group 1,3300000,0.920861,0.530017,3600000,17361
Group 1,3600000,0.932541,0.545077,3900000,18626
Group 1,3900000,0.884165,0.56283,4200000,23059
Group 1,4200000,0.957383,0.54732,4500000,16401
Group 1,4500000,0.939761,0.562203,4800000,13855
Group 1,4800000,0.906476,0.530543,5100000,11939
Group 1,5100000,0.918883,0.554793,5400000,17455
Group 1,5400000,0.926111,0.553007,5700000,15072
Group 1,5700000,0.915288,0.54825,6000000,18352
Group 1,6000000,0.925872,0.54996,6300000,20627
Group 1,6300000,0.876124,0.55462,6600000,21889
Group 1,6600000,0.932602,0.552577,6900000,21881
Group 1,6900000,0.813569,0.548763,7200000,15096
Group 1,7200000,0.893565,0.558383,7500000,17451
Group 1,7500000,0.884975,0.538493,7800000,13782
Group 1,7800000,0.907307,0.552733,8100000,16490
Group 1,8100000,0.8629,0.55213,8400000,13118
Group 1,8400000,0.912578,0.542073,8700000,16091
Group 1,8700000,0.909003,0.552793,9000000,16725
Group 1,9000000,0.88665,0.55103,9300000,5855
Group 1,9300000,0.851171,0.542917,9600000,9221
Group 1,9600000,0.880993,0.552573,9900000,15943
Group 1,9900000,0.895782,0.555753,10200000,16165
Group 1,10200000,0.921277,0.54441,10500000,20178
Group 1,10500000,0.93935,0.533617,10800000,16650
Group 1,10800000,0.919423,0.543697,11100000,17959
Group 1,11100000,0.847489,0.536357,11400000,18093
Group 1,11400000,0.825769,0.552037,11700000,19078
Group 1,11700000,0.908097,0.552147,12000000,21859
Group 1,12000000,0.859141,0.54902,12300000,14619
Group 1,12300000,0.860439,0.564927,12600000,16856
Group 1,12600000,0.497621,0.62239,12900000,8307
Group 1,12900000,0.591343,0.59464,13200000,18648
Group 1,13200000,0.662789,0.451063,13500000,16874
Group 1,13500000,0.745346,0.554327,13800000,5407
Group 1,13800000,0.685832,0.561963,14100000,31760
Group 1,14100000,0.792698,0.558377,14400000,13692
Group 1,14400000,0.940543,0.55402,14700000,13939
Group 1,14700000,0.899762,0.53663,15000000,14937
Group 1,15000000,0.945748,0.54911,15300000,17562
Group 1,15300000,0.932957,0.521483,15600000,16849
Group 1,15600000,0.9241,0.534637,15900000,16730
Group 1,15900000,0.823657,0.554903,16200000,6723
Group 1,16200000,0.686278,0.55188,16500000,6456
Group 1,16500000,0.779776,0.552393,16800000,9801
Group 1,16800000,0.9057,0.55492,17100000,15638
Group 1,17100000,0.763284,0.561297,17400000,19505
Group 1,17400000,0.610982,0.54633,17700000,17579
Group 1,17700000,0.612781,0.574907,18000000,6720
Group 1,18000000,0.479967,0.592183,18300000,2762
Group 1,18300000,0.541688,0.59184,18600000,3668
Group 1,18600000,0.491211,0.590283,18900000,6075
Group 1,18900000,0.813974,0.542663,19200000,8809
Group 1,19200000,0.919486,0.54475,19500000,12315
Group 1,19500000,0.953143,0.549383,19800000,13081
Group 1,19800000,0.905935,0.560457,20100000,10916
Group 1,20100000,0.725918,0.534163,20400000,8861
Group 1,20400000,0.93111,0.56189,20700000,20345
Group 1,20700000,0.917258,0.542427,21000000,14797
Group 1,21000000,0.915311,0.548693,21300000,17031
Group 1,21300000,0.923838,0.56767,21600000,13783
Group 1,21600000,0.863494,0.55143,21900000,7161
Group 1,21900000,0.895748,0.552393,22200000,13456
Group 1,22200000,0.929098,0.55428,22500000,9974
Group 1,22500000,0.906504,0.50692,22800000,11084
Group 1,22800000,0.891506,0.5516,23100000,31098
Group 1,23100000,0.859144,0.533973,23400000,29749
Group 1,23400000,0.944591,0.549627,23700000,18795
Group 1,23700000,0.928184,0.553423,24000000,17362
Group 1,24000000,0.640512,0.592667,24300000,52298
Group 1,24300000,0.877631,0.543973,24600000,21562
Group 1,24600000,0.907228,0.527983,24900000,15942
Group 1,24900000,0.909641,0.55283,25200000,17312
Group 1,25200000,0.871301,0.550857,25500000,13160
Group 1,25500000,0.828929,0.553903,25800000,28985
Group 1,25800000,0.928751,0.544647,26100000,15444
Group 1,26100000,0.810437,0.540153,26400000,12257
Group 1,26400000,0.55927,0.617357,26700000,10094
Group 1,26700000,0.960397,0.545027,27000000,13107
Group 1,27000000,0.945455,0.558867,27300000,17295
Group 1,27300000,0.874453,0.542353,27600000,16923
Group 1,27600000,0.906947,0.527947,27900000,7846
Group 1,27900000,0.919893,0.539,28200000,6902
Group 1,28200000,0.892594,0.531203,28500000,10309
Group 1,28500000,0.901287,0.5489,28800000,19469
Group 1,28800000,0.917196,0.550327,29100000,17857
Group 1,29100000,0.951789,0.539973,29400000,18736
Group 1,29400000,0.924856,0.524577,29700000,17959
Group 1,29700000,0.921061,0.523267,30000000,19866
Group 1,30000000,0.890232,0.537597,30300000,18821
Group 1,30300000,0.915701,0.555933,30600000,20159
Group 1,30600000,0.950037,0.543737,30900000,18527
Group 1,30900000,0.888011,0.539457,31200000,17774
Group 1,31200000,0.891035,0.539693,31500000,27788
Group 1,31500000,0.911041,0.522823,31800000,20745
Group 1,31800000,0.932714,0.563693,32100000,13863
Group 1,32100000,0.853969,0.536347,32400000,13111
Group 1,32400000,0.845133,0.547867,32700000,17526
Group 1,32700000,0.881689,0.52924,33000000,20169
Group 1,33000000,0.871621,0.517987,33300000,16721
Group 1,33300000,0.344451,0.496827,33600000,101846
Group 1,33600000,0.572825,0.49285,33900000,105525
Group 1,33900000,0.858322,0.52799,34200000,79257
Group 1,34200000,0.876017,0.54375,34500000,20276
Group 1,34500000,0.923686,0.533283,34800000,20257
Group 1,34800000,0.88556,0.551413,35100000,19966
Group 1,35100000,0.911041,0.543407,35400000,16229
Group 1,35400000,0.887136,0.549337,35700000,9581
Group 1,35700000,0.904478,0.55525,36000000,12964
Group 1,36000000,0.896664,0.550127,36300000,15006
Group 1,36300000,0.864708,0.53511,36600000,13324
Group 1,36600000,0.883342,0.528973,36900000,5489
Group 1,36900000,0.921828,0.542997,37200000,16508
Group 1,37200000,0.943,0.54008,37500000,17926
Group 1,37500000,0.861051,0.5547,37800000,13324
Group 1,37800000,0.855718,0.54179,38100000,8170
Group 1,38100000,0.916246,0.538287,38400000,15468
Group 1,38400000,0.832136,0.54789,38700000,12848
Group 1,38700000,0.922986,0.566693,39000000,19038
Group 1,39000000,0.899637,0.55059,39300000,22289
Group 1,39300000,0.861137,0.555293,39600000,20642
Group 1,39600000,0.905867,0.54115,39900000,23515
Group 1,39900000,0.816624,0.545823,40200000,18796
Group 1,40200000,0.936353,0.53201,40500000,20771
Group 1,40500000,0.909238,0.525727,40800000,21517
Group 1,40800000,0.891758,0.53144,41100000,14577
Group 1,41100000,0.927926,0.527123,41400000,9559
Group 1,41400000,0.890664,0.53272,41700000,16994
Group 1,41700000,0.834619,0.555093,42000000,16083
Group 1,42000000,0.793469,0.603877,42300000,22982
Group 1,42300000,0.93674,0.534743,42600000,17576
Group 1,42600000,0.866024,0.53852,42900000,16282
Group 1,42900000,0.934868,0.539527,43200000,15538
Group 1,43200000,0.927603,0.505523,43500000,5839
Group 1,43500000,0.905774,0.544123,43800000,5084
Group 1,43800000,0.878117,0.55725,44100000,3924
Group 1,44100000,0.956914,0.524017,44400000,9115
Group 1,44400000,0.908635,0.535957,44700000,18583
Group 1,44700000,0.930842,0.513147,45000000,15963
Group 1,45000000,0.931024,0.54803,45300000,13799
Group 1,45300000,0.879239,0.55409,45600000,16554
Group 1,45600000,0.860343,0.517723,45900000,8374
Group 1,45900000,0.926259,0.537577,46200000,12972
Group 1,46200000,0.922943,0.547857,46500000,13060
Group 1,46500000,0.899287,0.527497,46800000,13084
Group 1,46800000,0.910434,0.536233,47100000,12641
Group 1,47100000,0.859215,0.567713,47400000,9529
Group 1,47400000,0.935132,0.53176,47700000,15944
Group 1,47700000,0.662162,0.55256,48000000,13491
Group 1,48000000,0.859922,0.54273,48300000,21171
Group 1,48300000,0.896625,0.538777,48600000,21080
Group 1,48600000,0.861216,0.535277,48900000,20881
Group 1,48900000,0.887941,0.53457,49200000,22143
Group 1,49200000,0.828983,0.532323,49500000,18738
Group 1,49500000,0.899207,0.54812,49800000,19324
Group 1,49800000,0.883886,0.524943,50100000,17904
Group 1,50100000,0.893312,0.51962,50400000,17646
Group 1,50400000,0.906391,0.526987,50700000,20399
Group 1,50700000,0.884195,0.523853,51000000,21726
Group 1,51000000,0.712517,0.58187,51300000,29078
Group 1,51300000,0.73408,0.564837,51600000,29728
Group 1,51600000,0.858058,0.56014,51900000,16110
Group 1,51900000,0.86148,0.55141,52200000,17420
Group 1,52200000,0.861038,0.54825,52500000,19455
Group 1,52500000,0.937922,0.54789,52800000,8232
Group 1,52800000,0.888172,0.5267,53100000,3959
Group 1,53100000,0.939664,0.540687,53400000,16431
Group 1,53400000,0.835286,0.537837,53700000,22571
Group 1,53700000,0.874644,0.541627,54000000,20405
Group 1,54000000,0.93505,0.523027,54300000,19085
Group 1,54300000,0.94015,0.527503,54600000,21799
Group 1,54600000,0.877199,0.547917,54900000,19803
Group 1,54900000,0.92345,0.552313,55200000,18619
Group 1,55200000,0.934102,0.524127,55500000,20704
Group 1,55500000,0.890738,0.53799,55800000,24014
Group 1,55800000,0.914549,0.533163,56100000,20732
Group 1,56100000,0.873155,0.532213,56400000,22605
Group 1,56400000,0.845432,0.55193,56700000,18764
Group 1,56700000,0.796582,0.544153,57000000,15693
Group 1,57000000,0.902703,0.5255,57300000,18793
Group 1,57300000,0.916409,0.53412,57600000,19511
Group 1,57600000,0.877808,0.53915,57900000,21541
Group 1,57900000,0.757558,0.43312,58200000,13786
Group 1,58200000,0.838965,0.53833,58500000,22401
Group 1,58500000,0.842074,0.549853,58800000,22110
Group 1,58800000,0.930639,0.54462,59100000,19650
Group 1,59100000,0.865324,0.553687,59400000,21419
Group 1,59400000,0.889027,0.527433,59700000,19387
Group 1,59700000,0.885101,0.55928,60000000,19181
Group 1,60000000,0.924704,0.54403,60300000,19671
Group 1,60300000,0.9284,0.529483,60600000,20230
Group 1,60600000,0.915377,0.542487,60900000,21459
Group 1,60900000,0.935417,0.525703,61200000,20453
Group 1,61200000,0.911,0.529167,61500000,19649
