chr,start,mappability,gc_content,end,HM_RS7_G1_1
chr1,0,0.78986,0.5989,10000,2940
chr1,10000,0.986417,0.5805,20000,3102
chr1,20000,0.971304,0.6476,30000,2552
chr1,30000,0.99915,0.6216,40000,2660
chr1,40000,1,0.5754,50000,2761
chr1,50000,1,0.6213,60000,3446
chr1,60000,1,0.6167,70000,2433
chr1,70000,1,0.611,80000,2486
chr1,80000,0.799917,0.6258,90000,2401
chr1,90000,0.909317,0.5892,100000,2482
chr1,100000,0.9271,0.6102,110000,2062
chr1,110000,0.99005,0.6599,120000,1974
chr1,120000,0.93535,0.6069,130000,2044
chr1,130000,1,0.622,140000,2373
chr1,140000,0.773111,0.5367,150000,2892
chr1,150000,0.43843,0.5658,160000,2451
chr1,160000,0.882964,0.5679,170000,2750
chr1,170000,1,0.5908,180000,2835
chr1,180000,0.9721,0.641,190000,2616
chr1,190000,0.949099,0.6041,200000,2498
chr1,200000,1,0.6197,210000,2540
chr1,210000,1,0.6084,220000,2676
chr1,220000,1,0.6053,230000,2541
chr1,230000,1,0.5937,240000,2733
chr1,240000,0.97135,0.6578,250000,2465
chr1,250000,1,0.652,260000,2639
chr1,260000,1,0.6336,270000,2548
chr1,270000,0.71369,0.6032,280000,2615
chr1,280000,0.95447,0.6206,290000,2617
chr1,290000,0.99955,0.6492,300000,2471
chr1,300000,1,0.6495,310000,2335
chr1,310000,1,0.6371,320000,2607
chr1,320000,0.96695,0.6244,330000,2813
chr1,330000,1,0.6327,340000,2597
chr1,340000,1,0.6569,350000,2434
chr1,350000,1,0.6455,360000,2479
chr1,360000,1,0.6213,370000,2488
chr1,370000,0.992283,0.6442,380000,2540
chr1,380000,1,0.6154,390000,2612
chr1,390000,0.98956,0.6535,400000,2435
chr1,400000,1,0.6405,410000,2728
chr1,410000,1,0.6226,420000,2458
chr1,420000,1,0.6088,430000,2569
chr1,430000,0.958094,0.6642,440000,2392
chr1,440000,1,0.6435,450000,2573
chr1,450000,1,0.6104,460000,2774
chr1,460000,0.952875,0.6797,470000,2290
chr1,470000,0.9999,0.6622,480000,2371
chr1,480000,1,0.6616,490000,2496
chr1,490000,1,0.637,500000,2495
chr1,500000,0.98635,0.6664,510000,2423
chr1,510000,0.9928,0.6792,520000,2714
chr1,520000,1,0.6244,530000,2522
chr1,530000,1,0.6429,540000,2344
chr1,540000,1,0.6681,550000,2988
chr1,550000,0.9878,0.6833,560000,4446
chr1,560000,1,0.6641,570000,2361
chr1,570000,1,0.607,580000,2429
chr1,580000,1,0.6331,590000,2484
chr1,590000,0.99765,0.6897,600000,2332
