chr,start,mappability,gc_content,end,NAT_X_SYN_042
1,0,0.998692,0.64373,100000,4699
1,100000,1,0.62345,200000,4791
1,200000,0.998639,0.62097,300000,4863
1,300000,0.999675,0.59709,400000,5072
1,400000,0.998529,0.63318,500000,4490
1,500000,0.998761,0.63825,600000,4285
1,600000,0.99947,0.64127,700000,4989
1,700000,0.996095,0.62669,800000,5859
1,800000,0.997258,0.61498,900000,4765
1,900000,1,0.63594,1000000,4403
1,1000000,0.999065,0.61612,1100000,4852
1,1100000,0.997698,0.64258,1200000,4707
1,1200000,1,0.63634,1300000,4642
1,1300000,0.999955,0.62112,1400000,4834
1,1400000,0.983443,0.62753,1500000,4768
1,1500000,0.9834,0.64574,1600000,4371
1,1600000,0.99884,0.62369,1700000,4712
1,1700000,1,0.62742,1800000,4665
1,1800000,0.999745,0.63651,1900000,4606
1,1900000,0.998837,0.62542,2000000,4970
1,2000000,1,0.61111,2100000,5368
1,2100000,0.99992,0.62112,2200000,4936
1,2200000,0.989658,0.61482,2300000,3429
1,2300000,0.998395,0.6282,2400000,3345
1,2400000,0.978835,0.61545,2500000,3401
1,2500000,0.990613,0.62493,2600000,3652
1,2600000,1,0.63111,2700000,3809
1,2700000,0.908891,0.62254,2800000,3642
1,2800000,0.995622,0.63732,2900000,3713
1,2900000,0.99959,0.62499,3000000,3601
1,3000000,0.999297,0.63363,3100000,3377
1,3100000,0.99931,0.61556,3200000,3524
1,3200000,1,0.62852,3300000,3567
1,3300000,0.997255,0.61845,3400000,3462
1,3400000,0.999995,0.63692,3500000,3450
1,3500000,1,0.64671,3600000,3342
1,3600000,1,0.62174,3700000,3835
1,3700000,0.96511,0.63492,3800000,3453
1,3800000,0.99829,0.63553,3900000,3567
1,3900000,0.99957,0.64191,4000000,3358
1,4000000,0.999812,0.64466,4100000,3484
1,4100000,0.998472,0.64391,4200000,3328
1,4200000,0.9995,0.63839,4300000,3289
1,4300000,1,0.63517,4400000,4591
1,4400000,0.994054,0.63753,4500000,3487
1,4500000,1,0.65912,4600000,13707
1,4600000,0.992852,0.65371,4700000,3121
1,4700000,0.998147,0.64268,4800000,3122
1,4800000,1,0.63346,4900000,3573
1,4900000,1,0.64436,5000000,3575
1,5000000,0.99924,0.63732,5100000,3360
1,5100000,0.99974,0.63048,5200000,3606
1,5200000,0.99964,0.60351,5300000,3872
1,5300000,1,0.633,5400000,3268
1,5400000,0.99997,0.61232,5500000,3435
1,5500000,0.99939,0.61104,5600000,3840
1,5600000,0.988669,0.63472,5700000,3537
1,5700000,0.998039,0.61959,5800000,3501
1,5800000,0.99964,0.63719,5900000,3291
1,5900000,0.996613,0.62824,6000000,3526
1,6000000,1,0.62268,6100000,3900
1,6100000,0.965667,0.63346,6200000,3495
1,6200000,0.966406,0.6322,6300000,3250
1,6300000,0.992475,0.62759,6400000,3770
1,6400000,0.99954,0.65238,6500000,3262
1,6500000,0.989551,0.64456,6600000,3257
1,6600000,0.996659,0.64088,6700000,3225
1,6700000,0.993123,0.64064,6800000,3433
1,6800000,1,0.64083,6900000,3702
1,6900000,1,0.63532,7000000,3722
1,7000000,0.995568,0.62338,7100000,3315
1,7100000,0.99706,0.63564,7200000,3348
1,7200000,0.996975,0.63375,7300000,4701
1,7300000,0.904655,0.6405,7400000,3334
1,7400000,0.99743,0.63269,7500000,3567
1,7500000,1,0.63358,7600000,3495
1,7600000,1,0.63477,7700000,3518
1,7700000,0.98433,0.65343,7800000,7479
1,7800000,0.99978,0.6565,7900000,3268
1,7900000,0.996589,0.64752,8000000,3762
1,8000000,1,0.63918,8100000,4806
1,8100000,0.999626,0.64699,8200000,4682
1,8200000,1,0.64919,8300000,4532
1,8300000,0.999805,0.64295,8400000,4590
1,8400000,0.96995,0.64113,8500000,4131
1,8500000,0.999875,0.64614,8600000,4726
1,8600000,0.996265,0.63017,8700000,5050
1,8700000,0.784346,0.62979,8800000,4605
1,8800000,0.72504,0.63298,8900000,4328
1,8900000,1,0.63186,9000000,4429
1,9000000,0.962754,0.62124,9100000,5170
1,9100000,0.99957,0.63913,9200000,4604
1,9200000,1,0.65696,9300000,4342
1,9300000,0.99675,0.66103,9400000,4367
1,9400000,0.99059,0.63135,9500000,4513
1,9500000,0.991532,0.63016,9600000,4760
1,9600000,0.951424,0.6255,9700000,4871
1,9700000,0.999825,0.63366,9800000,4819
1,9800000,0.997727,0.66724,9900000,4458
1,9900000,1,0.65109,10000000,4595
1,10000000,0.99835,0.64456,10100000,4377
1,10100000,0.999034,0.65648,10200000,4541
1,10200000,0.97934,0.64784,10300000,4401
